tc,call_volume,aht,service_level,art
2022-12-02 08:30:00.000,329,380,80,30
2022-12-02 08:45:00.000,381,361.25,80,30
2022-12-02 09:00:00.000,471,375.25,80,30
2022-12-02 09:15:00.000,503,387.25,80,30
2022-12-02 09:30:00.000,566,458.25,80,30
2022-12-02 09:45:00.000,583,444.75,80,30
2022-12-02 10:00:00.000,594,501,80,30
2022-12-02 10:15:00.000,614,464.75,80,30
2022-12-02 10:30:00.000,638,420,80,30
2022-12-02 10:45:00.000,642,413.5,80,30
2022-12-02 11:00:00.000,637,404.25,80,30
2022-12-02 11:15:00.000,621,387,80,30
2022-12-02 11:30:00.000,604,498.25,80,30
2022-12-02 11:45:00.000,594,507,80,30
2022-12-02 12:00:00.000,597,479,80,30
2022-12-02 12:15:00.000,588,476.5,80,30
2022-12-02 12:30:00.000,598,392.5,80,30
2022-12-02 12:45:00.000,571,394.25,80,30
2022-12-02 13:00:00.000,568,369.75,80,30
2022-12-02 13:15:00.000,576,447.5,80,30
2022-12-02 13:30:00.000,575,415.25,80,30
2022-12-02 13:45:00.000,574,336,80,30
2022-12-02 14:00:00.000,571,371.25,80,30
2022-12-02 14:15:00.000,562,399,80,30
2022-12-02 14:30:00.000,563,435.75,80,30
2022-12-02 14:45:00.000,541,466.25,80,30
2022-12-02 15:00:00.000,558,419.75,80,30
2022-12-02 15:15:00.000,527,468.75,80,30
2022-12-02 15:30:00.000,510,430.25,80,30
2022-12-02 15:45:00.000,485,463.75,80,30
2022-12-02 16:00:00.000,476,405,80,30
2022-12-02 16:15:00.000,449,342.25,80,30
2022-12-02 16:30:00.000,441,456.5,80,30
2022-12-02 16:45:00.000,394,421.75,80,30
2022-12-02 17:00:00.000,376,458.25,80,30
2022-12-02 17:15:00.000,312,562.75,80,30
2022-12-02 17:30:00.000,275,423.5,80,30
2022-12-02 17:45:00.000,253,390,80,30
2022-12-02 18:00:00.000,227,350,80,30
2022-12-02 18:15:00.000,186,226.5,80,30
2022-12-02 18:30:00.000,165,289,80,30
2022-12-02 18:45:00.000,143,417.25,80,30
2022-12-02 19:00:00.000,124,233.25,80,30
2022-12-02 19:15:00.000,99,324,80,30
2022-12-02 19:30:00.000,91,312.75,80,30
2022-12-02 19:45:00.000,92,247,80,30
2022-12-02 20:00:00.000,74,236.75,80,30
2022-12-02 20:15:00.000,66,223.25,80,30
2022-12-02 20:30:00.000,58,232.25,80,30
2022-12-02 20:45:00.000,56,220.5,80,30
2022-12-02 21:00:00.000,48,245,80,30
2022-12-02 21:15:00.000,43,221.5,80,30
2022-12-02 21:30:00.000,39,231.75,80,30
